epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5116,1.37471,1.94624,1.93927,1.31096,0.4199,0.36546,0.33657,0.12063,0.29876,0.29719,0.19048,0.04209,2.0331,1.45725,2.46713,1.93213,0.000663805,0.000663805,0.000663805
2,80.1872,1.38674,1.67336,1.48555,1.3076,0.53862,0.63052,0.52331,0.23432,0.47325,0.50201,0.38911,0.10901,1.83768,1.31652,1.91915,1.59708,0.00130413,0.00130413,0.00130413
3,118.233,1.35898,1.65599,1.38612,1.29416,0.30052,0.5743,0.28018,0.11963,0.23752,0.4257,0.15655,0.03957,1.85787,1.38157,2.51072,1.64242,0.00191805,0.00191805,0.00191805
4,155.673,1.31347,1.66088,1.33437,1.2783,0.55441,0.55823,0.54422,0.22759,0.45346,0.48193,0.33469,0.0881,1.74096,1.31053,1.8048,1.5469,0.0018812,0.0018812,0.0018812
5,193.021,1.24176,1.59659,1.23626,1.24284,0.60904,0.63855,0.53218,0.23657,0.5304,0.53012,0.4014,0.11692,1.76934,1.33504,1.66575,1.51265,0.0018416,0.0018416,0.0018416
6,230.776,1.19883,1.59026,1.17771,1.22589,0.6535,0.6506,0.62208,0.34836,0.547,0.52209,0.39209,0.1169,1.50869,1.25132,1.61019,1.42931,0.001802,0.001802,0.001802
7,268.624,1.14918,1.57849,1.12594,1.19803,0.70066,0.67684,0.67605,0.36905,0.59336,0.60241,0.51719,0.15774,1.49813,1.21928,1.43156,1.38761,0.0017624,0.0017624,0.0017624
8,305.618,1.13117,1.57573,1.09244,1.19246,0.67573,0.61847,0.66128,0.38053,0.5682,0.52209,0.45569,0.14896,1.50776,1.24738,1.4409,1.4619,0.0017228,0.0017228,0.0017228
9,343.069,1.10911,1.5556,1.07054,1.18201,0.71417,0.66265,0.67904,0.3933,0.61462,0.57028,0.49188,0.15062,1.38162,1.2105,1.37411,1.26522,0.0016832,0.0016832,0.0016832
10,380.75,1.07616,1.54744,1.04236,1.16759,0.79199,0.66265,0.70769,0.41727,0.68595,0.5743,0.51557,0.14668,1.32223,1.26803,1.29998,1.24708,0.0016436,0.0016436,0.0016436
11,418.039,1.05402,1.5299,1.00948,1.14989,0.74796,0.6747,0.72166,0.43152,0.63251,0.56681,0.5314,0.16451,1.36418,1.26105,1.26457,1.29409,0.001604,0.001604,0.001604
12,455.445,1.0521,1.53727,1.01236,1.16124,0.73511,0.65758,0.67467,0.43216,0.63383,0.5492,0.48907,0.15196,1.30027,1.26179,1.33327,1.27532,0.0015644,0.0015644,0.0015644
13,493.436,1.03607,1.54838,0.98397,1.14856,0.66649,0.69022,0.66605,0.42548,0.55633,0.59036,0.48287,0.15823,1.22938,1.1959,1.2993,1.17481,0.0015248,0.0015248,0.0015248
14,531.151,1.02227,1.51096,0.97563,1.14089,0.7778,0.64666,0.72412,0.47575,0.64575,0.58635,0.54503,0.17617,1.20321,1.22486,1.24738,1.17439,0.0014852,0.0014852,0.0014852
15,568.047,1.01407,1.49638,0.96366,1.1372,0.76501,0.73092,0.74969,0.47839,0.6266,0.57831,0.5116,0.16569,1.30158,1.29316,1.26526,1.24647,0.0014456,0.0014456,0.0014456
16,605.871,1.00283,1.49303,0.94106,1.13679,0.66689,0.72691,0.68782,0.45333,0.57547,0.60974,0.53092,0.15846,1.30852,1.21858,1.23003,1.29002,0.001406,0.001406,0.001406
