epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.78,1.19904,1.94453,1.44542,1.28261,0.59122,0.64257,0.61103,0.36701,0.50144,0.51004,0.42634,0.13269,1.38185,1.26629,1.43456,1.22025,0.00333154,0.00333154,0.00333154
2,356.975,1.15111,1.56374,1.12478,1.22083,0.63767,0.57831,0.61522,0.3427,0.56533,0.54322,0.45673,0.13875,1.4904,1.23661,1.42557,1.23369,0.00664288,0.00664288,0.00664288
3,530.435,1.27644,1.63905,1.26456,1.29074,0.6851,0.6553,0.64244,0.33736,0.57461,0.54791,0.45044,0.12884,1.62845,1.25089,1.60364,1.39658,0.00993222,0.00993222,0.00993222
4,702.494,1.32394,1.63592,1.3051,1.33497,0.69456,0.54794,0.62191,0.32996,0.60698,0.51406,0.4852,0.15566,1.58629,1.29123,1.57928,1.39955,0.009901,0.009901,0.009901
5,873.031,1.27937,1.60415,1.27238,1.31329,0.58756,0.63855,0.57166,0.33015,0.4734,0.53012,0.37979,0.1056,1.51872,1.27269,1.74669,1.37383,0.009868,0.009868,0.009868
6,1041.23,1.25488,1.61098,1.24804,1.30038,0.69276,0.68675,0.68566,0.39437,0.62121,0.59036,0.51196,0.16221,1.39303,1.21953,1.47828,1.30423,0.009835,0.009835,0.009835
7,1206.35,1.20755,1.60111,1.1889,1.28012,0.69952,0.6747,0.6396,0.40932,0.60102,0.58233,0.47585,0.13912,1.37896,1.24011,1.38831,1.29537,0.009802,0.009802,0.009802
8,1371.95,1.17427,1.56781,1.15559,1.25916,0.57311,0.64659,0.62072,0.39043,0.4902,0.54618,0.44833,0.13036,1.38436,1.27662,1.38877,1.31426,0.009769,0.009769,0.009769
9,1541.21,1.16092,1.57158,1.11648,1.25253,0.57965,0.66456,0.58622,0.3291,0.4955,0.58233,0.43264,0.13434,1.48571,1.20776,1.53999,1.32009,0.009736,0.009736,0.009736
10,1709.72,1.1163,1.52809,1.09813,1.2302,0.70574,0.66461,0.67706,0.42327,0.60327,0.57028,0.49471,0.16173,1.31597,1.20624,1.37985,1.25896,0.009703,0.009703,0.009703
11,1875.8,1.11387,1.53761,1.08685,1.22773,0.61772,0.70088,0.61845,0.36861,0.54161,0.57028,0.47741,0.14454,1.34229,1.17156,1.41186,1.31005,0.00967,0.00967,0.00967
12,2040.46,1.0987,1.54865,1.0682,1.22208,0.76927,0.68675,0.7234,0.47295,0.67313,0.58233,0.55103,0.17393,1.23783,1.17347,1.26748,1.19492,0.009637,0.009637,0.009637
13,2204.07,1.0938,1.5203,1.05166,1.21962,0.77764,0.71084,0.73722,0.48004,0.66041,0.59036,0.5512,0.17261,1.22337,1.20213,1.21342,1.13261,0.009604,0.009604,0.009604
14,2368.79,1.06483,1.516,1.02009,1.20239,0.68992,0.73274,0.68917,0.4521,0.56307,0.62106,0.49087,0.15752,1.28418,1.18515,1.25999,1.22801,0.009571,0.009571,0.009571
15,2534.4,1.07334,1.51258,1.03111,1.21833,0.65578,0.6988,0.68938,0.43754,0.55026,0.58635,0.5084,0.15582,1.2992,1.18418,1.34974,1.23115,0.009538,0.009538,0.009538
16,2703.33,1.05529,1.48974,1.00712,1.20476,0.62575,0.65136,0.62432,0.37153,0.54446,0.56225,0.48414,0.16105,1.3424,1.21724,1.42945,1.2258,0.009505,0.009505,0.009505
17,2870.94,1.0372,1.51945,0.99192,1.19217,0.68789,0.6506,0.66811,0.45364,0.61627,0.58233,0.52584,0.1664,1.24239,1.21619,1.2671,1.21384,0.009472,0.009472,0.009472
18,3037.41,1.03818,1.49713,0.98865,1.18661,0.69671,0.60643,0.62284,0.38264,0.55697,0.53519,0.47942,0.14192,1.35062,1.19421,1.32029,1.23866,0.009439,0.009439,0.009439
19,3202.39,1.03023,1.49898,0.98051,1.19845,0.78734,0.70683,0.75863,0.52598,0.66501,0.60241,0.59024,0.18886,1.12619,1.15966,1.10064,1.13239,0.009406,0.009406,0.009406
20,3367.17,1.01882,1.48805,0.9611,1.18708,0.79269,0.71888,0.77026,0.54471,0.69779,0.61847,0.5898,0.19342,1.11898,1.18267,1.14842,1.13816,0.009373,0.009373,0.009373
21,3532.09,1.01103,1.47842,0.95141,1.17425,0.79944,0.65863,0.73412,0.49282,0.67245,0.61044,0.58376,0.19152,1.20159,1.19299,1.26255,1.18224,0.00934,0.00934,0.00934
22,3698.26,1.00095,1.47626,0.94708,1.17477,0.78287,0.70683,0.73924,0.51977,0.6939,0.62651,0.57515,0.19745,1.14254,1.17819,1.12315,1.10292,0.009307,0.009307,0.009307
23,3866.4,0.99923,1.4763,0.94692,1.16534,0.74675,0.71051,0.7388,0.5291,0.67393,0.58233,0.55933,0.17627,1.07402,1.1906,1.10536,1.09167,0.009274,0.009274,0.009274
24,4035.14,0.98485,1.45869,0.90891,1.16443,0.80881,0.6747,0.75414,0.54445,0.73304,0.60241,0.60671,0.20531,1.03178,1.15983,1.07884,1.07674,0.009241,0.009241,0.009241
25,4202.48,0.96573,1.44662,0.92148,1.16248,0.85214,0.69076,0.75312,0.51388,0.73587,0.57064,0.59008,0.19743,1.09722,1.17043,1.11356,1.08621,0.009208,0.009208,0.009208
26,4367.36,0.96371,1.45205,0.88965,1.14789,0.83002,0.73896,0.78977,0.57246,0.73051,0.65863,0.65102,0.21038,1.02772,1.14415,1.04938,1.09683,0.009175,0.009175,0.009175
27,4531.64,0.96034,1.46753,0.9079,1.1468,0.82956,0.70369,0.76419,0.55555,0.73018,0.61847,0.60072,0.20187,1.04363,1.17692,1.0522,1.05735,0.009142,0.009142,0.009142
28,4696.88,0.95802,1.46038,0.88716,1.15128,0.79383,0.73092,0.76037,0.54288,0.71319,0.65863,0.62704,0.19992,1.07882,1.13924,1.03661,1.09802,0.009109,0.009109,0.009109
29,4862.55,0.95757,1.44846,0.88154,1.15661,0.75828,0.68032,0.73232,0.53344,0.67808,0.63052,0.59546,0.19191,1.01457,1.15118,1.08728,1.06364,0.009076,0.009076,0.009076
30,5029.99,0.95204,1.43499,0.905,1.14752,0.81858,0.73092,0.77786,0.55558,0.70006,0.61847,0.58947,0.20215,1.03124,1.17688,1.06296,1.0945,0.009043,0.009043,0.009043
31,5198.56,0.95206,1.44103,0.87941,1.15195,0.78929,0.70706,0.77466,0.55076,0.6562,0.58635,0.55886,0.19099,1.07554,1.17909,1.09069,1.08094,0.00901,0.00901,0.00901
32,5365.38,0.93376,1.41913,0.86666,1.14014,0.77753,0.71084,0.75808,0.53574,0.71417,0.59839,0.61549,0.20721,1.05438,1.14401,1.0693,1.05662,0.008977,0.008977,0.008977
33,5529.94,0.92864,1.41037,0.86563,1.13443,0.81173,0.70683,0.75215,0.55717,0.65492,0.57028,0.54989,0.17981,1.04952,1.15598,1.10127,1.06672,0.008944,0.008944,0.008944
34,5694.18,0.94134,1.43625,0.88109,1.14856,0.7655,0.69482,0.73339,0.51051,0.69509,0.63052,0.58931,0.19509,1.0911,1.16633,1.09808,1.06781,0.008911,0.008911,0.008911
